,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
113,Singapore,232772.5,253396.6,276484.9,281427.4,279729.3,322361.1,342833.2,356832.1,375070.1,389637.4,398369.4,407918.4,422679.1,...,...
114,Solomon Islands,3070.4,3193,3397,3638.4,3466,3702.00149856052,4190.50393356495,4381.39785809208,4513.62562912223,4615.182547011,4732.51160946249,4884.9433188235,5065.3744740601,5260.63006012241,...
115,Somalia,...,...,...,...,...,...,3776.0245450654,3821.3368396061906,3892.4026847557,3984.0195285549303,4121.86528668185,4241.15457396006,4299.90269777052,4420.2999733081,...
116,South Africa,2359099,2491295,2624840,2708600,2666939,2748008,2838258,2901076,2973292,3023826,3063101,3071658,...,...,...
117,South Sudan,...,...,...,26896,28252.2,29804,32502.3724161985,15461.6444409373,19996.429865882703,20580.0252432748,20544.4312099483,17682.0155253904,16771.3989916916,...,...
118,Sri Lanka,4707254.53343625,5068220.3655886,5412695.90209038,5734756.07934707,5937701.62911192,6413668,6952720,7588517,7846202,8235430,8647833,9035830,9344839,9644729,...
119,St. Kitts and Nevis,1686.39,1739.92,1745.99,1857.18,1794.72,1822.13,1880.65,1798.09,1912.65,2050.64,2083.34,2121.78,2140.98,2239.27,...
120,St. Lucia,2884.65,3068.2555145458,3130.39806006429,3283.39973689823,3235.2230043432296,3248.27379994744,3382.83461730423,3370.1582858484403,3303.5156248232097,3347.7296721891,3355.4091444124497,3461.16667955332,3549.43080931672,3579.86037913762,...
121,St. Vincent and the Grenadines,1332.7463258112,1413.21329775681,1456.5075990419,1448.55930877735,1419.58945562874,1386.50322139836,1389.92892036749,1408.0094332362698,1443.08032926904,1446.64029574111,1458.54595142909,1470.74022342344,1481.31640382869,...,...
122,Sudan,20344.3,21673.07,22916,23797.52,23581.9728623006,23912.7798760228,23342.7239131796,19154.6255269959,19868.4958308046,20821.0482315012,21090.3484522683,21721.8814905894,22029.1862460606,...,...
123,Suriname,7251.288,7669.47,8060.53,8394.991,8648.293,9094.81,9626.583,9886.206,10175.9628,10201.80979685,9936.66206995,9425.99234472,9605.08619926968,...,...
124,Syrian Arab Republic,1156714,1215082,1284035,1341515,1420832,1469703,...,...,...,...,...,...,...,...,...
125,Tajikistan,116.590408561295,124.751737160586,134.482256610126,145.106354882326,150.765502722736,160.565260399714,172.44708966929298,185.38062139449,199.098787377682,212.438406131987,225.2,240.7,257.8,276.634153606896,...
126,Tanzania,51171980.704299,53556887.1948429,58090146.4922406,61323789.86447739,64624448.518603,68733843.5806909,74166915.45122641,77979846.6767145,83268117.2272653,88874110.9920748,94349315.551944,100828392.681411,107657404.908295,115140194.16788,...
127,Togo,1256277,1289570,1274416,1326186,1399629,1484996,1580009,1683397,1786292,1892051,2000709,2102745.159,2195265.945996,...,...
128,Tonga,723.25,705.3,693.085461638899,705.545216407696,728.6120408273309,752.7851269032659,767.593712403522,759.4723065238629,755.03123552077,775.2515298300299,803.41249901174,841.1393721990089,863.875873990615,876.5868873959989,...
129,Trinidad and Tobago,138052.674009759,157630.536817358,164337.832335101,169738.028868608,161551.06077573902,167142.571351102,166822.11847073495,163902.215522673,168327.12008134,166327.42553021,169177.788947408,158899.18009785502,154772.613626602,...,...
130,Tunisia,50499.22,53147.47,56713.4,59116.79,60915.98,63054.81,61845.65,64318.01,66167.5,68133.7,68919.5,69683.4,71046,...,...
131,Turkmenistan,34983.1247165187,38819.757362199896,43112.1262023109,49469.9999999999,52504,57313.213657114095,65749.6417697815,73015.5236850954,80435.97818161991,88758.0090627454,94485.1631736916,100343.24329046,106835.085829015,...,...
132,Tuvalu,28.3885284494916,29.2091865184534,31.0630391736024,33.5353558324529,32.0658395841939,31.0748566258371,33.5266695375284,32.2407459108239,33.716289315090904,34.1707592290334,37.2949616474881,38.4268454696528,39.6724859109731,...,...
133,Uganda,53973484.191176794,57778270.135703,62437428.2843934,68948400.5700401,74511733.5191921,80224000,85430500,88600000,92463000,97223000,102064000,106482500,111857500,118945500,...
134,United Arab Emirates,944528.363976952,1037386.28992247,1070907.06954164,1105333.25509097,1047539.81797922,1064244.4198994,1137999.33171133,1189033.74549268,1249119.56560968,1304065.35172118,1370111.91721469,1411056.80222442,1422345.25664222,...,...
135,Uruguay,425018.44812484697,442438.15795960306,471380.298064741,505207.23015748,526645.669644109,567741.988678101,597049.58535443,618174.266745619,646842.337165673,667792.210044146,670267.991273422,681594.167467757,699256.580851504,710585.12224209,...
